t_Ve,Ve,,t_Vc,Vc
0.0002644770747592557,9.995731313287376,,0.0002644770747592557,5.5504054905645575
0.0002645770747592557,9.995603131731139,,0.0002645770747592557,5.5512720456530324
0.0002646770747592557,9.9954750551772,,0.0002646770747592557,5.552164226552545
0.0002647770747592557,9.995347084313885,,0.0002647770747592557,5.553082012193805
0.0002648770747592557,9.995219219828467,,0.0002648770747592557,5.55402538136996
0.0002649770747592557,9.995091462407176,,0.0002649770747592557,5.554994312736806
0.0002650770747592557,9.994963812735184,,0.0002650770747592557,5.555988784813001
0.0002651770747592557,9.994836271496611,,0.0002651770747592557,5.557008775980273
0.0002652770747592557,9.99470883937451,,0.0002652770747592557,5.558054264483628
0.0002653770747592557,9.994581517050879,,0.0002653770747592557,5.559125228431575
0.0002654770747592557,9.99445430520664,,0.0002654770747592557,5.560221645796327
0.0002655770747592557,9.994327204521653,,0.0002655770747592557,5.561343494414019
0.0002656770747592557,9.9942002156747,,0.0002656770747592557,5.562490751984922
0.0002657770747592557,9.994073339343489,,0.0002657770747592557,5.563663396073657
0.00026587707475925573,9.993946576204646,,0.00026587707475925573,5.564861404109413
0.00026597707475925573,9.993819926933712,,0.00026597707475925573,5.566084753386162
0.00026607707475925573,9.993693392205145,,0.00026607707475925573,5.567333421062876
0.00026617707475925573,9.99356697269231,,0.00026617707475925573,5.568607384163744
0.00026627707475925574,9.993440669067482,,0.00026627707475925574,5.569906619578392
0.00026637707475925574,9.993314482001837,,0.00026637707475925574,5.571231104062099
0.00026647707475925574,9.993188412165448,,0.00026647707475925574,5.572580814236022
0.00026657707475925574,9.993062460227295,,0.00026657707475925574,5.573955726587411
0.00026667707475925575,9.992936626855238,,0.00026667707475925575,5.575355817469835
0.00026677707475925575,9.992810912716038,,0.00026677707475925575,5.576781063103395
0.00026687707475925575,9.992685318475338,,0.00026687707475925575,5.578231439574955
0.00026697707475925575,9.99255984479767,,0.00026697707475925575,5.57970692283836
0.00026707707475925576,9.992434492346439,,0.00026707707475925576,5.581207488714666
0.00026717707475925576,9.992309261783934,,0.00026717707475925576,5.5827331128923525
0.00026727707475925576,9.992184153771314,,0.00026727707475925576,5.584283770927559
0.00026737707475925576,9.992059168968614,,0.00026737707475925576,5.585859438244307
0.00026747707475925577,9.991934308034732,,0.00026747707475925577,5.587460090134718
0.00026757707475925577,9.991809571627435,,0.00026757707475925577,5.589085701759252
0.00026767707475925577,9.991684960403346,,0.00026767707475925577,5.590736248146932
0.0002677770747592558,9.991560475017952,,0.0002677770747592558,5.592411704195564
0.0002678770747592558,9.991436116125591,,0.0002678770747592558,5.594112044671977
0.0002679770747592558,9.991311884379458,,0.0002679770747592558,5.5958372442122455
0.0002680770747592558,9.991187780431593,,0.0002680770747592558,5.597587277321917
0.0002681770747592558,9.991063804932882,,0.0002681770747592558,5.5993621183762485
0.0002682770747592558,9.990939958533056,,0.0002682770747592558,5.601161741620437
0.0002683770747592558,9.990816241880685,,0.0002683770747592558,5.602986121169847
0.0002684770747592558,9.990692655623173,,0.0002684770747592558,5.604835231010247
0.0002685770747592558,9.99056920040676,,0.0002685770747592558,5.6067090449980395
0.0002686770747592558,9.990445876876517,,0.0002686770747592558,5.608607536860499
0.0002687770747592558,9.990322685676341,,0.0002687770747592558,5.610530680196002
0.0002688770747592558,9.990199627448952,,0.0002688770747592558,5.612478448474261
0.0002689770747592558,9.990076702835895,,0.0002689770747592558,5.614450815036562
0.0002690770747592558,9.989953912477528,,0.0002690770747592558,5.616447753096005
0.0002691770747592558,9.989831257013028,,0.0002691770747592558,5.618469235737732
0.0002692770747592558,9.989708737080383,,0.0002692770747592558,5.620515235919171
0.0002693770747592558,9.98958635331639,,0.0002693770747592558,5.6225857264702706
0.0002694770747592558,9.989464106356653,,0.0002694770747592558,5.624680680093738
0.0002695770747592558,9.989341996835577,,0.0002695770747592558,5.626800069365283
0.0002696770747592558,9.98922002538637,,0.0002696770747592558,5.628943866733852
0.0002697770747592558,9.989098192641032,,0.0002697770747592558,5.6311120445218705
0.0002698770747592558,9.988976499230365,,0.0002698770747592558,5.633304574925484
0.0002699770747592558,9.988854945783952,,0.0002699770747592558,5.6355214300147995
0.00027007707475925583,9.988733532930175,,0.00027007707475925583,5.637762581734125
0.00027017707475925583,9.988612261296193,,0.00027017707475925583,5.640028001902219
0.00027027707475925583,9.988491131507951,,0.00027027707475925583,5.642317662212528
0.00027037707475925584,9.988370144190172,,0.00027037707475925584,5.64463153423343
0.00027047707475925584,9.988249299966359,,0.00027047707475925584,5.646969589408484
0.00027057707475925584,9.988128599458783,,0.00027057707475925584,5.649331799056666
0.00027067707475925584,9.988008043288488,,0.00027067707475925584,5.651718134372626
0.00027077707475925585,9.987887632075287,,0.00027077707475925585,5.654128566426926
0.00027087707475925585,9.987767366437758,,0.00027087707475925585,5.656563066166288
0.00027097707475925585,9.987647246993241,,0.00027097707475925585,5.659021604413841
0.00027107707475925585,9.98752727435783,,0.00027107707475925585,5.661504151869375
0.00027117707475925586,9.987407449146382,,0.00027117707475925586,5.6640106791095794
0.00027127707475925586,9.987287771972506,,0.00027127707475925586,5.666541156588305
0.00027137707475925586,9.987168243448558,,0.00027137707475925586,5.669095554636799
0.00027147707475925586,9.987048864185644,,0.00027147707475925586,5.671673843463966
0.00027157707475925587,9.986929634793617,,0.00027157707475925587,5.674275993156613
0.00027167707475925587,9.98681055588107,,0.00027167707475925587,5.6769019736797
0.00027177707475925587,9.986691628055333,,0.00027177707475925587,5.6795517548766
0.0002718770747592559,9.986572851922478,,0.0002718770747592559,5.682225306469344
0.0002719770747592559,9.986454228087307,,0.0002719770747592559,5.684922598058872
0.0002720770747592559,9.986335757153354,,0.0002720770747592559,5.687643599125295
0.0002721770747592559,9.986217439722878,,0.0002721770747592559,5.690388279028143
0.0002722770747592559,9.986099276396871,,0.0002722770747592559,5.693156607006622
0.0002723770747592559,9.985981267775042,,0.0002723770747592559,5.695948552179864
0.0002724770747592559,9.985863414455817,,0.0002724770747592559,5.698764083547192
0.0002725770747592559,9.985745717036348,,0.0002725770747592559,5.70160316998837
0.0002726770747592559,9.985628176112497,,0.0002726770747592559,5.70446578026386
0.0002727770747592559,9.985510792278834,,0.0002727770747592559,5.70735188301508
0.0002728770747592559,9.985393566128645,,0.0002728770747592559,5.710261446764663
0.0002729770747592559,9.985276498253917,,0.0002729770747592559,5.713194439916717
0.0002730770747592559,9.985159589245344,,0.0002730770747592559,5.716150830757079
0.0002731770747592559,9.98504283969232,,0.0002731770747592559,5.719130587453578
0.0002732770747592559,9.984926250182935,,0.0002732770747592559,5.722133678056293
0.0002733770747592559,9.984809821303982,,0.0002733770747592559,5.725160070497816
0.0002734770747592559,9.984693553640938,,0.0002734770747592559,5.728209732593515
0.0002735770747592559,9.984577447777975,,0.0002735770747592559,5.731282632041791
0.0002736770747592559,9.984461504297954,,0.0002736770747592559,5.73437873642434
0.0002737770747592559,9.98434572378242,,0.0002737770747592559,5.737498013206418
0.0002738770747592559,9.984230106811598,,0.0002738770747592559,5.740640429737104
0.0002739770747592559,9.984114653964397,,0.0002739770747592559,5.743805953249565
0.0002740770747592559,9.983999365818402,,0.0002740770747592559,5.746994550861318
0.00027417707475925593,9.983884242949872,,0.00027417707475925593,5.750206189574496
0.00027427707475925593,9.983769285933738,,0.00027427707475925593,5.75344083627611
0.00027437707475925593,9.983654495343602,,0.00027437707475925593,5.756698457738322
0.00027447707475925594,9.983539871751734,,0.00027447707475925594,5.759979020618705
0.00027457707475925594,9.983425415729064,,0.00027457707475925594,5.763282491460512
0.00027467707475925594,9.983311127845191,,0.00027467707475925594,5.766608836692942
0.00027477707475925594,9.98319700866837,,0.00027477707475925594,5.76995802263141
0.00027487707475925595,9.983083058765509,,0.00027487707475925595,5.773330015477816
0.00027497707475925595,9.982969278702177,,0.00027497707475925595,5.776724781320807
0.00027507707475925595,9.982855669042593,,0.00027507707475925595,5.780142286136056
0.00027517707475925595,9.982742230349624,,0.00027517707475925595,5.783582495786528
0.00027527707475925596,9.982628963184785,,0.00027527707475925596,5.787045376022747
0.00027537707475925596,9.982515868108237,,0.00027537707475925596,5.790530892483069
0.00027547707475925596,9.982402945678782,,0.00027547707475925596,5.7940390106939565
0.00027557707475925596,9.98229019645386,,0.00027557707475925596,5.797569696070246
0.00027567707475925597,9.982177620989551,,0.00027567707475925597,5.801122913915424
0.00027577707475925597,9.98206521984057,,0.00027577707475925597,5.804698629421893
0.00027587707475925597,9.98195299356026,,0.00027587707475925597,5.8082968076712564
0.000275977074759256,9.981840942700599,,0.000275977074759256,5.811917413634579
0.000276077074759256,9.981729067812191,,0.000276077074759256,5.815560412172672
0.000276177074759256,9.981617369444265,,0.000276177074759256,5.8192257680363575
0.000276277074759256,9.981505848144673,,0.000276277074759256,5.822913445866756
0.000276377074759256,9.981394504459887,,0.000276377074759256,5.826623410195554
0.000276477074759256,9.981283338934997,,0.000276477074759256,5.83035562544528
0.000276577074759256,9.981172352113711,,0.000276577074759256,5.8341100559295835
0.000276677074759256,9.981061544538345,,0.000276677074759256,5.8378866658535085
0.000276777074759256,9.980950916749835,,0.000276777074759256,5.841685419313781
0.000276877074759256,9.980840469287715,,0.000276877074759256,5.845506280299074
0.000276977074759256,9.980730202690134,,0.000276977074759256,5.849349212690296
0.000277077074759256,9.980620117493842,,0.000277077074759256,5.853214180260861
0.000277177074759256,9.98051021423419,,0.000277177074759256,5.857101146676977
0.000277277074759256,9.98040049344513,,0.000277277074759256,5.861010075497921
0.000277377074759256,9.98029095565921,,0.000277377074759256,5.864940930176319
0.000277477074759256,9.980181601407574,,0.000277477074759256,5.868893674058428
0.000277577074759256,9.98007243121996,,0.000277577074759256,5.872868270384415
0.000277677074759256,9.979963445624692,,0.000277677074759256,5.876864682288645
0.000277777074759256,9.979854645148688,,0.000277777074759256,5.880882872799955
0.000277877074759256,9.979746030317449,,0.000277877074759256,5.884922804841942
0.000277977074759256,9.979637601655059,,0.000277977074759256,5.888984441233245
0.000278077074759256,9.979529359684186,,0.000278077074759256,5.893067744687827
0.000278177074759256,9.979421304926074,,0.000278177074759256,5.8971726778152584
0.00027827707475925603,9.97931343790055,,0.00027827707475925603,5.901299203121005
0.00027837707475925603,9.97920575912601,,0.00027837707475925603,5.90544728300671
0.00027847707475925603,9.979098269119428,,0.00027847707475925603,5.909616879770478
0.00027857707475925604,9.978990968396342,,0.00027857707475925604,5.91380795560716
0.00027867707475925604,9.978883857470867,,0.00027867707475925604,5.918020472608648
0.00027877707475925604,9.97877693685568,,0.00027877707475925604,5.9222543927641516
0.00027887707475925604,9.978670207062018,,0.00027887707475925604,5.926509677960488
0.00027897707475925605,9.97856366859969,,0.00027897707475925605,5.930786289982371
0.00027907707475925605,9.978457321977057,,0.00027907707475925605,5.935084190512699
0.00027917707475925605,9.978351167701042,,0.00027917707475925605,5.939403341132839
0.00027927707475925605,9.978245206277123,,0.00027927707475925605,5.943743703322916
0.00027937707475925606,9.978139438209329,,0.00027937707475925606,5.948105238462109
0.00027947707475925606,9.978033864000247,,0.00027947707475925606,5.952487907828936
0.00027957707475925606,9.977928484151008,,0.00027957707475925606,5.956891672601541
0.00027967707475925606,9.977823299161292,,0.00027967707475925606,5.961316493857987
0.00027977707475925607,9.977718309529326,,0.00027977707475925607,5.965762332576542
0.00027987707475925607,9.97761351575188,,0.00027987707475925607,5.970229149635983
0.00027997707475925607,9.977508918324267,,0.00027997707475925607,5.974716905815875
0.00028007707475925607,9.977404517740334,,0.00028007707475925607,5.979225561796863
0.0002801770747592561,9.977300314492473,,0.0002801770747592561,5.983755078160973
0.0002802770747592561,9.977196309071605,,0.0002802770747592561,5.988305415391896
0.0002803770747592561,9.977092501967189,,0.0002803770747592561,5.99287653387529
0.0002804770747592561,9.976988893667214,,0.0002804770747592561,5.997468393899062
0.0002805770747592561,9.9768854846582,,0.0002805770747592561,6.002080955653674
0.0002806770747592561,9.976782275425188,,0.0002806770747592561,6.006714179232427
0.0002807770747592561,9.976679266451757,,0.0002807770747592561,6.0113680246317625
0.0002808770747592561,9.976576458219998,,0.0002808770747592561,6.016042451751556
0.0002809770747592561,9.976473851210532,,0.0002809770747592561,6.0207374203954105
0.0002810770747592561,9.976371445902494,,0.0002810770747592561,6.025452890270953
0.0002811770747592561,9.97626924277354,,0.0002811770747592561,6.030188820990133
0.0002812770747592561,9.976167242299843,,0.0002812770747592561,6.034945172069513
0.0002813770747592561,9.976065444956086,,0.0002813770747592561,6.039721902930573
0.0002814770747592561,9.975963851215473,,0.0002814770747592561,6.044518972900008
0.0002815770747592561,9.975862461549708,,0.0002815770747592561,6.049336341210016
0.0002816770747592561,9.975761276429012,,0.0002816770747592561,6.054173966998607
0.0002817770747592561,9.975660296322108,,0.0002817770747592561,6.059031809309891
0.0002818770747592561,9.975559521696223,,0.0002818770747592561,6.063909827094388
0.0002819770747592561,9.975458953017094,,0.0002819770747592561,6.06880797920932
